State,E-Waste Collection Centers
andhra pradesh,"Green Waves, Ecoreco, Saahas Zero Waste, Andhra E-Waste, Recycle India"
arunachal pradesh,"Arunachal E-Waste Solutions, Green Future, EcoSmart, Recycle Arunachal, E-Waste Hub"
assam,"Hulladek Recycling, Assam E-Waste, Greenscape Eco, Recycle India, Green Era"
bihar,"Bihar Recycling Hub, Green Solutions, Attero Recycling, Karo Sambhav, Recycle Bihar"
chhattisgarh,"Chhattisgarh E-Waste, Green Earth, Earth Sense, Recycle CG, Ecoreco"
goa,"Goa Recycling, Green Wave, E-Waste Solutions, Recycle Goa, Eco-Friendly Recyclers"
gujarat,"E-Parisaraa, Green Revolution, Recycle Green, Earth Sense Recyclers, EWaste India"
haryana,"Haryana Green, Recycle Tech, Karo Sambhav, Attero Recycling, Earth Sense"
himachal pradesh,"Himachal Green IT, Eco Recycling, E-Waste Solutions, Green World, HPCB E-Waste Facility"
jharkhand,"Jharkhand Recycling, Green Zone, E-Waste Solutions, Recycle Hub, Jharkhand E-Waste"
karnataka,"Saahas Zero Waste, Ash Recyclers, E-Parisaraa, Virogreen, Cerebra Green"
kerala,"Green Kerala Recycling, Recycle Hub, Earth Sense, Eco Recycling, Kerala E-Waste"
madhya pradesh,"MP E-Waste Recycling, Green IT Recycling, Earth Sense, Eco Recycling, E-Waste Solutions"
maharashtra,"Ecoreco, Hulladek Recycling, Attero Recycling, Green India Recycling, Recyclekaro"
manipur,"Manipur Green Tech, Recycle Hub, Earth Sense, E-Waste Solutions, Green Future"
meghalaya,"Meghalaya Recycling, Green Sense, Eco Recycling, E-Waste Hub, Recycle Meghalaya"
mizoram,"Mizoram E-Waste, Green Era, Recycle Tech, Mizoram Green, Earth Sense"
nagaland,"Nagaland Recycling, Green IT, E-Waste Solutions, Nagaland Green, Recycle Future"
odisha,"Odisha Recycling, Green World, Attero Recycling, E-Waste Solutions, Hulladek"
punjab,"Punjab Green, Recycle IT, Karo Sambhav, Earth Sense, Punjab E-Waste"
rajasthan,"Earth Sense Recyclers, Rajasthan Pollution Control Board, Green India Recycling, E-Waste Jaipur, Recycle Zone"
sikkim,"Sikkim E-Waste Solutions, Green Future, Eco Recycling, Recycle Sikkim, Sikkim Green"
tamil nadu,"Ewaste Chennai, Virogreen, Green Era Recyclers, Ash Recyclers, TNPCB E-Waste Facility"
telangana,"Recykal, Virogreen, Earth Sense, Green India, Hyderabad E-Waste Solutions"
tripura,"Tripura Recycling, Green IT, Recycle Hub, Eco Recycling, Tripura E-Waste"
uttar pradesh,"Attero Recycling, Karma Recycling, Green India, Earth Sense, E-Waste Solutions"
uttarakhand,"Uttarakhand Recycling, Green Future, Recycle IT, Earth Sense, E-Waste Solutions"
west bengal,"Hulladek Recycling, Green Waves, Ecoreco, EWRI, Recycle India"
